,bundle_set,quantity,sub_cat_3_name_en,sku_ready_required_days,packing_box_type,weight,height,length,width,manufacturer_country_en,is_weekend,any_promotion,total_price_range
44886,0,1,Frozen Seashell,0,FROZEN,60.0,200,30,100.0,CHINA,weekday,0,< 50
44890,0,1,Frozen Seashell,0,FROZEN,800.0,300,50,200.0,JAPAN,weekday,0,101-200
44893,0,2,Frozen Seashell,0,FROZEN,450.0,235,200,30.0,IRELAND,weekday,0,51-100
44897,0,1,Frozen Seashell,0,FROZEN,453.0,140,240,50.0,JAPAN,weekday,1,101-200
44898,0,1,Frozen Seashell,0,FROZEN,500.0,120,150,30.0,NEW ZEALAND,weekday,1,< 50
44900,0,1,Frozen Seashell,0,FROZEN,1000.0,150,200,60.0,NEW ZEALAND,weekday,0,101-200
44931,0,1,Frozen Seashell,0,FROZEN,360.0,180,120,70.0,JAPAN,weekday,1,< 50
44933,0,1,Frozen Seashell,0,FROZEN,1000.0,100,100,100.0,NEW ZEALAND,weekday,0,101-200
44937,0,1,Frozen Seashell,0,FROZEN,500.0,200,100,20.0,JAPAN,weekday,0,101-200
45034,0,1,Frozen Seashell,0,FROZEN,150.0,100,200,20.0,THAILAND,weekday,1,< 50
45058,0,1,Frozen Seashell,0,FROZEN,310.0,52,163,124.0,AUSTRALIA,weekday,0,501-600
45143,0,1,Other Frozen Seafood,0,FROZEN,350.0,250,170,60.0,THAILAND,weekday,0,51-100
45198,0,2,Other Frozen Seafood,0,FROZEN,380.0,190,140,55.0,HONG KONG,weekday,0,51-100
45204,0,1,Other Frozen Seafood,0,FROZEN,250.0,100,100,80.0,CHINA,weekday,0,301-400
45289,0,1,Other Frozen Seafood,0,FROZEN,500.0,100,100,100.0,KOREA,weekday,0,51-100
45292,0,1,Other Frozen Seafood,0,FROZEN,300.0,30,300,180.0,AFRICA,weekday,0,201-300
45293,0,1,Other Frozen Seafood,0,FROZEN,400.0,175,210,85.0,CANADA,weekday,1,201-300
45299,0,2,Other Frozen Seafood,0,FROZEN,450.0,250,120,30.0,CANADA,weekday,0,201-300
45300,0,1,Other Frozen Seafood,0,FROZEN,250.0,140,160,30.0,JAPAN,weekday,0,< 50
45302,0,1,Other Frozen Seafood,0,FROZEN,110.0,200,250,50.0,AUSTRALIA,weekday,1,101-200
45305,0,1,Other Frozen Seafood,0,FROZEN,226.0,257,175,30.0,BRAZIL,weekday,1,201-300
45314,0,1,Other Frozen Seafood,0,FROZEN,200.0,100,200,40.0,CHINA,weekday,0,< 50
45317,0,1,Other Frozen Seafood,0,FROZEN,500.0,100,100,50.0,JAPAN,weekday,1,51-100
45511,0,1,Frozen Fish,0,FROZEN,200.0,210,140,30.0,SINGAPORE,weekday,1,< 50
45533,0,1,Frozen Fish,0,FROZEN,250.0,150,110,35.0,JAPAN,weekday,1,< 50
45725,0,1,Frozen Fish,0,FROZEN,450.0,150,150,80.0,AUSTRALIA,weekday,0,101-200
45730,0,1,Frozen Fish,0,FROZEN,2500.0,200,100,80.0,NORWAY,weekday,1,401-500
45758,0,1,Frozen Fish,0,FROZEN,150.0,300,200,200.0,JAPAN,weekday,0,< 50
45771,0,1,Frozen Fish,0,FROZEN,200.0,220,100,30.0,CHINA,weekday,0,FREE
46504,0,1,Frozen Fish,0,CHILL,85.0,20,190,140.0,JAPAN,weekday,1,< 50
46566,0,2,Frozen Fish,0,FROZEN,908.0,60,220,220.0,NEW ZEALAND,weekday,1,201-300
46700,0,1,Frozen Fish,0,FROZEN,450.0,350,200,300.0,TAIWAN,weekday,1,101-200
46702,0,1,Frozen Fish,0,FROZEN,100.0,350,200,300.0,NORWAY,weekday,1,101-200
46734,0,1,Frozen Fish,0,FROZEN,200.0,200,300,50.0,CHINA,weekday,0,< 50
46854,0,2,Frozen Fish,0,FROZEN,300.0,270,170,40.0,UNITED STATES OF AMERICA,weekday,1,< 50
46881,0,1,Frozen Fish,0,FROZEN,85.0,130,200,20.0,CANADA,weekday,1,51-100
46932,0,1,Frozen Fish,0,FROZEN,600.0,130,100,30.0,HONG KONG,weekday,1,201-300
46938,0,2,Frozen Fish,0,FROZEN,375.0,120,100,30.0,HONG KONG,weekday,1,501-600
47339,0,2,Frozen Fish,0,FROZEN,550.0,60,210,140.0,VIET NAM,weekday,0,51-100
47386,0,1,Frozen Fish,0,FROZEN,200.0,210,140,30.0,SINGAPORE,weekday,1,< 50
47391,0,1,Frozen Fish,0,FROZEN,300.0,40,230,165.0,MALAYSIA,weekday,1,< 50
47421,0,1,Frozen Fish,0,FROZEN,170.0,150,200,200.0,CANADA,weekday,1,< 50
47491,0,1,Frozen Fish,0,FROZEN,10.0,100,100,100.0,UNITED KINGDOM,weekday,0,< 50
47498,0,1,Frozen Fish,0,FROZEN,900.0,350,200,300.0,JAPAN,weekday,1,101-200
47778,0,1,Frozen Fish,0,FROZEN,250.0,150,150,50.0,CHILE,weekday,0,< 50
47802,0,1,Frozen Fish,0,FROZEN,425.0,200,300,30.0,CHINA,weekday,1,< 50
47861,0,1,Frozen Fish,0,FROZEN,100.0,300,250,40.0,TAIWAN,weekday,1,< 50
47893,0,1,Frozen Fish,0,FROZEN,500.0,280,170,20.0,CHINA,weekday,1,< 50
49190,0,1,Frozen Shrimp and Crab,0,FROZEN,300.0,250,150,60.0,THAILAND,weekday,0,101-200
49194,0,1,Frozen Shrimp and Crab,0,FROZEN,350.0,250,150,60.0,THAILAND,weekday,0,101-200
49210,0,1,Frozen Shrimp and Crab,0,FROZEN,800.0,380,160,40.0,JAPAN,weekday,1,701-800
49221,0,1,Frozen Shrimp and Crab,0,FROZEN,400.0,150,200,50.0,CHINA,weekday,0,51-100
49226,0,1,Frozen Shrimp and Crab,0,FROZEN,300.0,190,240,50.0,KOREA,weekday,1,51-100
49260,0,1,Frozen Shrimp and Crab,0,FROZEN,200.0,300,150,50.0,VIET NAM,weekday,0,< 50
49266,0,2,Frozen Shrimp and Crab,0,FROZEN,1000.0,270,170,45.0,OTHERS,weekday,1,201-300
49454,0,1,Frozen Shrimp and Crab,0,FROZEN,420.0,150,170,50.0,JAPAN,weekday,1,51-100
49483,0,1,Frozen Shrimp and Crab,0,FROZEN,250.0,270,170,20.0,THAILAND,weekday,1,< 50
49494,0,1,Frozen Shrimp and Crab,0,FROZEN,1000.0,150,100,80.0,MALAYSIA,weekday,1,101-200
49497,0,2,Frozen Shrimp and Crab,0,FROZEN,250.0,150,100,80.0,MALAYSIA,weekday,1,51-100
49565,0,1,Frozen Shrimp and Crab,0,FROZEN,1000.0,50,350,220.0,JAPAN,weekday,1,101-200
49567,0,1,Frozen Shrimp and Crab,0,FROZEN,1000.0,100,100,100.0,KOREA,weekday,1,101-200
49586,0,1,Frozen Shrimp and Crab,0,FROZEN,170.0,50,200,120.0,INDONESIA,weekday,1,51-100
49597,0,1,Frozen Shrimp and Crab,0,FROZEN,1000.0,265,145,65.0,VIET NAM,weekday,1,101-200
49599,0,1,Frozen Shrimp and Crab,0,FROZEN,250.0,360,130,30.0,THAILAND,weekday,1,< 50
49601,0,1,Frozen Shrimp and Crab,0,FROZEN,420.0,205,175,90.0,THAILAND,weekday,0,101-200
49613,0,1,Frozen Shrimp and Crab,0,FROZEN,220.0,150,300,40.0,THAILAND,weekday,1,< 50
50320,0,1,Frozen Seashell,0,FROZEN,500.0,200,160,160.0,VIET NAM,weekday,0,101-200
50427,0,1,Frozen Seashell,0,FROZEN,400.0,220,100,30.0,CHINA,weekday,1,< 50
50731,0,2,Frozen Seashell,0,FROZEN,226.0,52,163,124.0,AUSTRALIA,weekday,0,801-900
51118,0,1,Frozen Seashell,0,FROZEN,1000.0,100,70,30.0,MYANMAR,weekday,1,101-200
51133,0,1,Frozen Seashell,0,FROZEN,500.0,150,200,40.0,JAPAN,weekday,1,101-200
51193,0,2,Frozen Seashell,0,FROZEN,100.0,35,105,105.0,KOREA,weekday,1,101-200
51202,0,2,Frozen Seashell,0,FROZEN,300.0,100,300,300.0,JAPAN,weekday,1,101-200
51367,0,4,Frozen Seashell,0,FROZEN,520.0,60,160,120.0,JAPAN,weekday,1,501-600
51402,0,2,Frozen Seashell,0,FROZEN,500.0,150,200,50.0,CHINA,weekday,0,101-200
51415,0,1,Frozen Seashell,0,FROZEN,927.0,280,153,50.0,USA,weekday,0,101-200
51585,0,2,Other Frozen Seafood,0,FROZEN,112.0,200,200,30.0,JAPAN,weekday,1,< 50
51587,0,2,Other Frozen Seafood,0,FROZEN,200.0,90,60,30.0,AUSTRALIA,weekday,0,201-300
51588,0,1,Other Frozen Seafood,0,FROZEN,140.0,120,200,20.0,VIET NAM,weekday,1,< 50
51590,0,1,Other Frozen Seafood,0,FROZEN,500.0,220,50,200.0,KOREA,weekday,1,51-100
51669,0,1,Other Frozen Seafood,0,FROZEN,120.0,190,160,25.0,MALAYSIA,weekday,0,< 50
51672,0,1,Other Frozen Seafood,0,FROZEN,340.0,250,200,30.0,KOREA,weekday,1,< 50
51702,0,1,Other Frozen Seafood,0,FROZEN,180.0,120,180,30.0,JAPAN,weekday,0,101-200
51732,0,1,Other Frozen Seafood,0,FROZEN,255.0,280,200,50.0,JAPAN,weekday,1,< 50
51873,0,1,Other Frozen Seafood,0,FROZEN,300.0,30,300,180.0,THAILAND,weekday,1,101-200
51876,0,1,Other Frozen Seafood,0,FROZEN,330.0,175,210,90.0,CANADA,weekday,0,301-400
51880,0,2,Other Frozen Seafood,0,FROZEN,10.0,100,100,100.0,CHINA,weekday,1,101-200
